工程編號,工程名稱,工程地點,工程預算 (元),工期天數
PJ-2024-001,台北市大安區排水系統改善工程,台北市大安區,"12,500,000",180
PJ-2024-002,高雄港第七貨櫃中心基礎設施維護,高雄市前鎮區,"85,000,000",450
CN-113-05,台中市文心路人行道鋪面翻修專案,台中市西屯區,"6,800,000",90
RD-2025-012,桃園市青埔特區智慧路燈安裝工程,桃園市中壢區,"21,200,000",240
HS-2024-088,新竹科學園區第三期廠房擴建工程,新竹市東區,"520,000,000",720
ID-113-A15,恆星數位辦公大樓室內裝修案,新北市板橋區,"4,500,000",60
BW-2024-009,宜蘭縣蘭陽溪景觀橋梁補強工程,宜蘭縣壯圍鄉,"32,000,000",300
CV-2025-201,台南市安平區社會住宅新建工程,台南市安平區,"1,250,000,000","1,095"
PW-113-K03,嘉義縣民雄工業區電力設施升級,嘉義縣民雄鄉,"15,800,000",150
EM-2024-772,花蓮縣太魯閣國家公園步道修復,花蓮縣秀林鄉,"9,600,000",210
